id,title,score,comments,time
46262816,AI and the ironies of automation – Part 2,64,10,2025-12-14 13:19:15
46262950,"Apple Maps claims it's 29,905 miles away",60,34,2025-12-14 13:45:41
46262021,Shai-Hulud compromised a dev machine and raided GitHub org access: a post-mortem,32,18,2025-12-14 10:07:00
46258163,Recovering Anthony Bourdain's Li.st's,246,113,2025-12-13 21:18:01
46203477,Building a Modern C64 Assembly AI Toolchain,13,1,2025-12-09 10:49:38
46223617,Show HN: Cargo-rail: graph-aware monorepo tooling for Rust; 11 deps,17,1,2025-12-10 20:49:22
46262545,The Gorman Paradox: Where Are All the AI-Generated Apps?,59,85,2025-12-14 12:18:59
46217126,Create a Markdown Editor in Ruby on Rails,32,3,2025-12-10 12:50:46
46257339,VPN location claims don't match real traffic exits,436,275,2025-12-13 19:46:19
46255285,Ask HN: How can I get better at using AI for programming?,386,387,2025-12-13 15:37:16
46261998,"Willison on Merchant's ""Copywriters reveal how AI has decimated their industry""",12,7,2025-12-14 10:01:25
46260106,"If a Meta AI model can read a brain-wide signal, why wouldn't the brain?",121,72,2025-12-14 01:43:33
