id,title,score,comments,time
46262816,AI and the ironies of automation – Part 2,90,20,2025-12-14 13:19:15
46262950,"Apple Maps claims it's 29,905 miles away",84,54,2025-12-14 13:45:41
46262021,Shai-Hulud compromised a dev machine and raided GitHub org access: a post-mortem,44,30,2025-12-14 10:07:00
46261998,"Willison on Merchant's ""Copywriters reveal how AI has decimated their industry""",28,15,2025-12-14 10:01:25
46262545,The Gorman Paradox: Where Are All the AI-Generated Apps?,91,114,2025-12-14 12:18:59
46223617,Show HN: Cargo-rail: graph-aware monorepo tooling for Rust; 11 deps,22,1,2025-12-10 20:49:22
46258163,Recovering Anthony Bourdain's Li.st's,252,120,2025-12-13 21:18:01
46203477,Building a Modern C64 Assembly AI Toolchain,20,2,2025-12-09 10:49:38
46217126,Create a Markdown Editor in Ruby on Rails,34,4,2025-12-10 12:50:46
46257339,VPN location claims don't match real traffic exits,439,278,2025-12-13 19:46:19
46255285,Ask HN: How can I get better at using AI for programming?,390,393,2025-12-13 15:37:16
46260106,"If a Meta AI model can read a brain-wide signal, why wouldn't the brain?",124,74,2025-12-14 01:43:33
